UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
34888,79840,Lagos,06-04-2020, Without the there would not be any problem whatsoever People are getting worried about the supply chain   Prices for key food staples are starting to soar in some parts of the world via,Neutral
39363,84315,,09-04-2020,"Rice &amp; wheat prices surge amid fears Covid-19 lockdown may threaten global food security
Increased panic buying of food due to coronavirus lockdowns has led to price spikes for  worldÂs two staple grains, rice&amp; wheat. Importers rushed to stockpile goods
 https://t.co/0qOv3jAp9m",Extremely Negative
3943,48895,,16-03-2020,"When the government says to start social distancing, but you work retail so you can't just not talk to customers in the store lol fml I'm 100% going to catch covid-19",Positive
12001,56953,irlande du nord,19-03-2020,"What the shops are doing is obeying the law of demand and supply. If we want an ethical distribution of essential consumer items, then we must look to socialism. ThatÂs what we had - with rationing - in WW2, under an ostensibly Conservative PM. #coronavirus #covid19UK #BorisOut",Positive
35519,80471,"Zaria, Nigeria",07-04-2020,Kaduna State Task Force on Covid 19 led by the Deputy Governor Sabuwa Balarabe today met with representatives of dealers traders of food and other essential items in Sheik Gumi market to address the wanton hike on the prices of food items at this critical period,Negative
29166,74118,"Dallas, TX",31-03-2020,No #coronavirus break for consumer credit scores https://t.co/rrlKNJCYGF,Positive
33571,78523,"Hatfield, UK",05-04-2020,@dreamy_blue WeÂre working closely with suppliers to constantly restock so we can get as much food into as many homes as possible. WeÂre experiencing unprecedented levels of demand at the moment &amp; we apologise if some items are out of stock. Please ,Positive
16373,61325,Las Vegas,21-03-2020,My sister works at a grocery store. Those employees should get hazard pay. #coronavirus #COVIDCanada #COVIDbc #Covid_19,Negative
31858,76810,"Ngong, Kenya",04-04-2020,The Tuskys supermarket has partnered with local delivery companies such as Uber eats Sendy and Glovo to deliver customer s orders to their doorsteps,Neutral
16270,61222,Cape Verde,21-03-2020,Does anyone know about a way of getting food delivered at home in the UK A friend of mine has 19 symptoms and should not be going out but all supermarket apps have nothing available for weeks He is based in Any advice would be great uk,Extremely Positive
30400,75352,,02-04-2020,WHY DOESNT THE FEDERAL GOVERNMENT TAKE CHARGE OF PPE PRODUCTION AND SUPPLY CHAIN??? WHY ARE STATES COMPETING AND DRIVING UP THE PRICES?!?! #TrumpPlague #Covid_19 #PPE,Neutral
38659,83611,"New York, NY",08-04-2020,"Comprehensive article by my colleague @DomYanchunas who details the job losses in the metal consumer sector so far, as Covid-19 assails the US economy #metals #covid19 
https://t.co/sghmCiqbJ9",Negative
39212,84164,,09-04-2020,"@dgwhoyles @NFUEastAnglia @NFUtweets Here is some forecasts from @Kantar_UKI on retail demand. Potatoes are predicted to out perform overall retail growth, which itself is forecast to continue to be strong https://t.co/eWsgEz4iGB",Extremely Positive
25743,70695,"Boston, MA",25-03-2020,"Thank you @JeniferBosco, staff Attorney at the National Consumer Law Center @NCLC4consumers for joining our Core students tonight, virtually, to share the latest COVID-19 and consumer protection updates with our students!",Positive
31467,76419,,03-04-2020,"This is the definition of false hope.

Trump tweets that he's ""negotiating"" oil production cuts, so oil prices spike.

Meanwhile, Petrobras CEO says ""it's irrelevant"" because #coronavirus is overwhelming everything.

https://t.co/DF2W6FPopX https://t.co/zAn3kE84C2",Positive
12367,57319,,19-03-2020,"As a carer for elderly parents, will you selfish stock piling wankers, think of other people. IÂm trying to self isolate, for fear of contracting the virus and passing it on to my parents. However, IÂm having to venture out to try and buy food for them. #coronavirus #stockpiling",Extremely Negative
12288,57240,"Adelaide, South Australia",19-03-2020,"@slpng_giants_oz Actually CBD stores, regional stores and independent grocers are open on public holidays. I work in a major supermarket that is only shut one day a year. Regardless, @marshall_steven and the Liberals shouldn't be using #coronavirus panic ",Negative
37775,82727,Canada,08-04-2020,Help protect our seniors and their finances during these uncertain times by warning them about associated scams and,Negative
31888,76840,"New Delhi, India",04-04-2020,"#Coronavirus' impact on the global food supply chain could sky-rocket with anxiety-driven panic, say experts

https://t.co/iD0ZO8i4FN",Extremely Negative
35149,80101,,06-04-2020,"Warning: TrumpÂs home remedies are proven to be deadly. Instead, make sure your neighbors have hand sanitizer. If the shelves are bare in your neighborhood and up town, expect your coronavirus cases to jump. https://t.co/miIj2pqKtO
#Coronavirus #Covid_19",Positive
38228,83180,"Raleigh, North Carolina",08-04-2020,"We need to have a risk management system more than ever. Instead of optimizing our #supplychain to minimize the cost of inventory, we need to optionalize that #inventory. Interviewed by @Forbes. More insights here:  https://t.co/EAdj7MHdcS #retail #DTC",Positive
31997,76949,"Melbourne, Victoria, Australia",04-04-2020,"@9NewsSyd @tiffgenders @woolworths @Coles @aldi @nswhealth @VicGovDHHS state 'close contract' for '15 mins.+' is danger for #coronavirus . Yet no one in supermarket at risk unless huge crowd inside. Illogical overreaction, with senior staff interviewed fr",Extremely Negative
16556,61508,India,21-03-2020,"#Coronavirus impact: #HUL cuts #Lifebuoy soap, #sanitiser prices by 15%, others ramp up production https://t.co/pTcjx9zzqA via @BT_India",Negative
8525,53477,,18-03-2020,eMarketer: COVID-19's business and consumer impact in Europe: https://t.co/4hlyh7IIth https://t.co/Phb0DL6vHo,Neutral
37021,81973,Washington State,07-04-2020,"Get the latest on consumer perceptions and attitudes. @DA_Research has free and available resources for travel industry professionals. 
https://t.co/bIXQJddf30 https://t.co/7nrOvRIYa9",Positive
10348,55300,"Mumbai, India",19-03-2020,"Shahenshah Of Bollywood Amitabh Bachchan, #UNICEF India Goodwill Ambassador has this important message for you on how to stay safe and protected against #COVID19.

#CoronaVirus #CoronaOutbreak
@WHOSEARO @MoHFW_INDIA @SrBachchan @UNinIndia https://t.co/iaI7jnM7QC",Extremely Positive
20849,65801,"Bhopal, India",23-03-2020,"Honorable PM sir with current scenario regarding Covid 19 sir our company has developed a online to realtime shopping solution involving local business which will be only solution to current crises as well as for future Market
#PMModi #pmoindia #Covid_19india #onlineshopping #ADS",Extremely Positive
11558,56510,"Southern California, USA",19-03-2020,"A few good things have come out of the CoronaVirus 
Lower gas prices and less traffic on the freeways.

#coronavirus #CoronavirusOutbreak #abc7eyewitness",Positive
14196,59148,Northern Virginia,20-03-2020,"I weep for the futureÂ
#coronavirus 
https://t.co/YTTeBQ80TN",Negative
44349,89301,,13-04-2020,https://t.co/rzeZehIbdF FTC Is Scrutinizing COVID-19 Advertising As Consumer Complaints Soar,Negative
30565,75517,"Marco Island, Florida",02-04-2020,"For information regarding #Coronavirus scams, visit:

https://t.co/O7dQLNAq9k

#MarcoIsland #BetterTogether #COVID-19 #Scam #Fraud #Community https://t.co/ZPT8Ehvotu",Negative
10445,55397,"Philadelphia, PA",19-03-2020,Bucks Co Covid 19 update- If you experience price gouging please contact the Dept. of Consumer Protection.,Positive
44896,89848,Australian Capital Territory,14-04-2020,"Asking prices for houses in Canberra continue to rise, despite the economic impacts of the COVID-19 emergency. Canberra experienced the second-largest increase in property listings in the nation in March https://t.co/CT33tHWS7h https://t.co/BvXAXoDf7K",Negative
5250,50202,facebook.com/FoodBankCENC,17-03-2020,"Thank you Pairwise! These funds will go a long way towards helping us shift our operations to providing pre-packaged boxes, which are in highest demand right now. ? https://t.co/CFgf7RisRv https://t.co/29GJAkuGQk",Positive
11208,56160,Ceda,19-03-2020,So @Menards has raised the prices of all their cleaning supplies during this #coronavirus pandemic. Speaks volumes of their character as a company. Price gouging is just shameful. #pricegouging,Negative
29688,74640,,01-04-2020,Britain s frontline minimum wage army got a pay rise today National Minimum Wage reality  8 72 hr over 25  8 20 hr 21 24  6 45 hr 18 20  4 55 hr 16 Remember that the next time you see them working in a supermarket cleaning hospitals or providing care,Positive
20339,65291,"Warwick, RI",22-03-2020,Our new #servicedog  is #trained to not only help with calming us down in these hard times of #corvid19 #coronavirus but to also have a #supply of #toiletpaper in these #hardtimes #furbabylove #pet #cbdofri #canamedÂ https://t.co/lhoOFgoxCv,Neutral
26665,71617,"Naperville, IL",25-03-2020,TodayÂs #Coronavirus deal of the day... half off a $40 bottle of hand sanitizer ? https://t.co/RRTjFcZu8T,Positive
4761,49713,,17-03-2020,Dear fighters According to experts peple with disease ve higher of Therefore u r requested to take care Make a habit of washing hands drink plenty of water eat nutritious food Don t panic with infection but take care,Extremely Positive
20250,65202,"St Augustine, Florida",22-03-2020,"We are practicing social distancing. The beach is beginning to show less people than previous days and stores are well supplied except for toilet paper, hand sanitizer, and thermometers.
#SAugustine #FloridaCoronaVirus #Palatka #CoronaVirus
https://t.co/GivZHwUE7z",Extremely Positive
27133,72085,"New York, USA",26-03-2020,Since I ve been self quarantined in NYC for two weeks now I finally tried to do some grocery shopping online How on earth are people who are struggling financially supposed to buy food and other essential items that are overpriced and or only available in bulk,Negative
32976,77928,,05-04-2020,#ComeOnBoris Bet you never had to go and get your own food from the supermarket #CoronaVirus #CoronavirusPandemic,Neutral
32997,77949,"Chesterfield, England",05-04-2020,More products for #socialdistancing on line at https://t.co/7uNLxto2Us we have kept prices and pack sizes as low as possible #InItTogether help us all #keepsafe #KeepYourDistance #KeepingBritainMoving,Positive
16480,61432,"Grimsby, England",21-03-2020,Be kind to your supermarket staff. There working hard at the minute and trying to keep up with demand. Calling them doesnÂt help?? #CoronavirusPandemic #CoronaCrisis,Extremely Positive
39334,84286,,09-04-2020,They ve been at the grocery store or somewhere else after they left work and although people are grateful they don t want them around them in their scrubs because they fear they re carrying COVID 19,Neutral
27686,72638,Nelson New Zealand,26-03-2020,"Covid-19 coronavirus: Rotorua shoppers wear beekeeping suits to supermarket, via @nzherald https://t.co/JppnJr5ARZ",Neutral
24825,69777,Manchester,25-03-2020,@Shell_UKLtd disgusting profiting out of Covid-19 with inflated prices https://t.co/1I85CzT6Sw,Negative
43073,88025,Muskoka aka Hollywood North,12-04-2020,"BUY a house just before the #coronavirus #pandemic? 

DonÂt count on force majeure protection, unless itÂs legislated or included in the contract.

#consumer #homebuying #homebuyer #realestate #residential #HouseHunters #law https://t.co/rlBRJ7qAe7",Neutral
39695,84647,Everywhere,09-04-2020,Consumer genomics company 23andMe wants to mine its database of millions of customers for clues to why the virus hits some people harder than others. Via @WIRED  https://t.co/kkuzlutxqv,Neutral
17768,62720,"""DeviantArt"" ",21-03-2020,"Question... anybody ever heard of death cases due to a lack of loo paper ???

PLS ? stop panic shopping ?

#Covid_19 #COVID19 #coronavirus #StandTogether #OneWorld #compassion #empathy #solidarity #StopPanicBuying https://t.co/1NOyZ3qOSc",Extremely Negative
33153,78105,Nepal,05-04-2020,"Now is not the time to panic. We must show solidarity within our communities so that small rural producers continue to plant, harvest, transport, and sell food without endangering safety. 
https://t.co/RkA0cTZxf3
https://t.co/Df2rNLbYOM",Negative
34946,79898,Chester,06-04-2020,"Odd how you could go to the #supermarket and buy your usual #food supplies, which may or may not be saturated with #coronavirus, but you can't go for an extended period of exercise outside your home, for fear of catching/transmitting the same #coronavirus?",Extremely Negative
40978,85930,"Indianapolis, IN",10-04-2020,"Join us beginning early Friday morning to raise much-needed funds for @GleanersFBIndy &amp; @MFBIndy as they grapple with a surge in demand.

A donation of just $5 can provide 20 meals. 

Details: https://t.co/B4vpHIPrlA

#Indiana #Indy #coronavirus #CoronavirusOutbreak #COVID?19 https://t.co/bjiVzL9gZX",Positive
34448,79400,"Vancouver, BC",06-04-2020,"Please do read this. It includes quotes from myself and another disabled person you know on here - not going to tag them because not sure they want to be. 

Not having funds is problem - especially with food bank requiring ID.
But even if you have the funds it's huge problem. https://t.co/snezT7tNo9",Negative
42622,87574,,12-04-2020,"@Ciarrai_Louise @Independent_ie Where are you getting your information?

Yes, the virus has not been confirmed to spread through in a way that scientists consider ""airborne""

Can it be spread through breathing though? Close proximity? Yes.

ht",Extremely Positive
14455,59407,New England,20-03-2020,"As with most things, having more doctors would bring down prices. Operating hospitals as a business instead of a public service might argue for scarcity, but operating them as a critical protective resource, like an army argues otherwise.
#CoronaVirus #Hospitals #M4A #Bernie",Negative
38732,83684,"Durham, NC",08-04-2020,Scammers follow headlines and take advantage of your #coronavirus fears. The @FTC has these tips to avoid them https://t.co/L6KEJpu1iK,Negative
14798,59750,"Lagos, Nigeria",20-03-2020,"Contact me for your websites, online shopping store , blogs etc.
Please help Retweet ?
.
.
.
.
.
#UltimateLoveNG #COV19Game #Dancegan #Covid_19 #TwitterDoYourThing Rosie Terry G Edmund Obilo https://t.co/oVUQwGT7Yz",Extremely Positive
37942,82894,,08-04-2020,How to protect yourself from online sellers who exploit fears around the #coronavirus to promote fake cures or hike prices ?? https://t.co/jvmBOuH8cp,Negative
4528,49480,"Adelaide, South Australia",17-03-2020,"@justinel_h As a consumer of your reporting I agree my interest is in primarily Covid-19 stories. However now is a crucial time to have active and credible journalism so that things donÂt happen in the shadows, away from the publicÂs view. Keep fighting",Extremely Positive
