Model,PCA,Accuracy,Precision,Recall,F1-Score
Logistic Regression,No PCA,0.40210803689064556,0.4316040048480932,0.40210803689064556,0.3970907623207535
Logistic Regression,PCA-50,0.3841897233201581,0.4194185241324234,0.3841897233201581,0.3774483868877193
Logistic Regression,PCA-100,0.4010540184453228,0.4307233386002386,0.4010540184453228,0.39600768038369527
SVM,No PCA,0.43873517786561267,0.48247422158515124,0.43873517786561267,0.43894793240319374
SVM,PCA-50,0.4345191040843215,0.47229241826695834,0.4345191040843215,0.43583787556156695
SVM,PCA-100,0.43820816864295126,0.47377113418664185,0.43820816864295126,0.44008907373639183
Random Forest,No PCA,0.4015810276679842,0.4241726145398089,0.4015810276679842,0.4005596268523378
Random Forest,PCA-50,0.3870882740447958,0.42249756279969797,0.3870882740447958,0.3851737335196717
Random Forest,PCA-100,0.3905138339920949,0.4360887029036069,0.3905138339920949,0.3854439645288667
Naive Bayes,No PCA,0.31620553359683795,0.3329239309637764,0.31620553359683795,0.27824110289839576
Naive Bayes,PCA-50,0.33517786561264823,0.3411585161177716,0.33517786561264823,0.3137374576729891
Naive Bayes,PCA-100,0.3209486166007905,0.34206866243397827,0.3209486166007905,0.29817731270659803
