Model,PCA,Accuracy,Precision_macro,Recall_macro,F1_macro
LogisticRegression,None,0.4525024295432459,0.4810799784522173,0.44119190060550706,0.45119513971777625
SVM,None,0.44011175898931,0.491642544974498,0.4196143065048633,0.4371522315449311
RandomForest,None,0.4268707482993197,0.47745986320620126,0.405716146608996,0.4227203340718345
GaussianNB,None,0.309645286686103,0.3174643620474627,0.3585741740114633,0.3009648187379023
LogisticRegression,50,0.39285714285714285,0.4218494204306108,0.3781360157579653,0.3891488792717399
SVM,50,0.43124392614188534,0.4818022168708612,0.41040838734187324,0.42754788323350545
RandomForest,50,0.429421768707483,0.49334410939541673,0.40346090342949764,0.42166127508027895
GaussianNB,50,0.32798833819241985,0.3345646671113243,0.36103122705490753,0.3288757294815487
LogisticRegression,100,0.42966472303207,0.45954512747159926,0.4180331726832326,0.4287483255117504
SVM,100,0.43986880466472306,0.4912773181179991,0.41940249562562215,0.43690023695403946
RandomForest,100,0.4382896015549077,0.5167792724561625,0.4075376693603062,0.42691882358697714
GaussianNB,100,0.3073372206025267,0.3298978059400448,0.34760317219221337,0.3081091766062625
LogisticRegression,200,0.4523809523809524,0.481129564418776,0.44104895304286823,0.451097712759217
SVM,200,0.44011175898931,0.491642544974498,0.4196143065048633,0.4371522315449311
RandomForest,200,0.429421768707483,0.530850693493319,0.39337104318629523,0.4125086948783145
GaussianNB,200,0.3015063168124393,0.34305193968857306,0.34467427250630756,0.3015737017773621
